EventName,Used
Application Form Purchased,
Application Form Submitted,
Appointment Scheduled,
Aptitude Test Taken,
Ask Me Anything Session Attended,1
Ask Me Anything Session Feedback Form Filled,1
Ask Me Anything Session Registered,1
CC Application,
Call Audited,1
Call Connected,1
Call Not Connected,1
Campus Tour Attended,1
Campus Tour Registered,1
Certificate Course Completed,
Certificate Course Payment Incomplete,
Certificate Course Purchased,
Chatted with Counsellor on YM,1
Chatting On Whatsapp,1
Chatting On Yellow Messenger,1
Cold Database Call,1
Cold Database Call Connected,1
Cold Database Call Not Connected,1
College Seminar Attended,1
College Webinar Attended,1
College Webinar Registered,1
Converted to Lead,1
DMAC Registered,1
Demo Completed,1
Demo Scheduled,1
Direct Application,
Downsell,1
Duplicate Detected,
Dynamic Form Submission,1
Email Clicked on MoEngage,1
Email Link Clicked,1
Email Opened,1
Email Opened From MoEngage,1
Email Received,1
Email Sent,1
Email Sent From MoEngage,1
EmailSent,1
Entrance Test Submitted,
Facebook Lead Ads Submissions,1
Futwork Call Connected,1
Futwork Call Not Connected,1
Inbound Phone Call Activity,1
Info Session Attended,1
Info Session Feedback Form Filled,1
Info Session Registered,1
Interview Scheduled,
Lead Capture,1
Lead Form Submitted,1
Lead Referred,1
Lead Shared through Agent Popup,1
Lead Stage Changed,1
LeadAssigned,1
Live Masterclass Attended,1
Live Masterclass Feedback Form Filled,1
Live Masterclass Registered,1
Mailing preference link clicked,1
Merge,1
Nurture Journey Entered,
Nurture Journey Exited,
ODMC Application,
Opportunity Captured,
Outbound Call ODMC,
Outbound Call PCDM,
Outbound Call PG,
Outbound Call Upsell,
Outbound Phone Call Activity,
PCDMS Application,
PG Application,
PG Application Form Purchased,
Page Visited on Website,1
Payment Attempted,
Payment Failed,
Payment Received,
Placement Report Download,
Razorpay Payment,
Refer & Earn Registered,1
Resubscribed,1
SMS Received,1
SMS Sent,1
Sales Activity,
Scholarship Test Registered,1
Scholarship Test Submitted,1
SourceChange,1
StageChangeApp ExpectedApplied,
StageChangeApp ExpectedContact Attempted-Connected,
StageChangeApp ExpectedContact Attempted-Not Connected,
StageChangeApp ExpectedCustomer,
StageChangeApp ExpectedDefault,
StageChangeApp ExpectedFuture Batches,
StageChangeApp ExpectedIn convo Neutral,
StageChangeApp ExpectedIn convo Warm,
StageChangeApp ExpectedMarketing Acquired,
StageChangeApp ExpectedNew,
StageChangeApp ExpectedNurture,
StageChangeApp ExpectedReactivated,
StageChangeApp ExpectedUnqualified,
StageChangeAppliedApp Expected,
StageChangeAppliedContact Attempted-Connected,
StageChangeAppliedContact Attempted-Not Connected,
StageChangeAppliedCustomer,
StageChangeAppliedDefault,
StageChangeAppliedFuture Batches,
StageChangeAppliedIn convo Neutral,
